h= 40.000000
n= 43
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 2
v= 8
a= 40.000000
-7.000000	-3.000000
-5.000000	-3.000000
-5.000000	0.000000
5.000000	0.000000
5.000000	-3.000000
7.000000	-3.000000
7.000000	2.000000
-7.000000	2.000000
v= 8
a= 40.000000
7.000000	2.000000
5.000000	2.000000
5.000000	-1.000000
-5.000000	-1.000000
-5.000000	2.000000
-7.000000	2.000000
-7.000000	-3.000000
7.000000	-3.000000
m= 1
v= 4
a= 72.000000
-6.000000	0.000000
0.000000	-6.000000
6.000000	0.000000
0.000000	6.000000
m= 1
v= 4
